Nom_Barri,diff_renda,diff_lloguer,diff_regio_rica,diff_bcn,diff_joves,diff_hut,diff_juridic,diff_edu
el Raval,426.2083333333335,0.5581818181818181,0.0010578541345449652,-0.00474817042811386,5.154720770104704e-4,0.0176070265477196,0.002082063192041845,0.00705164396533608
el Barri Gòtic,570.7222222222222,0.5409090909090909,-0.003510819181367643,-0.015372263045287608,0.007259404282288778,-0.042239719361617155,8.154422861593921e-4,-0.005339172653843124
la Barceloneta,567.625,0.6863636363636363,0.0020434828286352486,-0.010977387169962206,0.003851836801064218,0.0519613464768592,0.0021886707713284583,0.011473642694308301
"Sant Pere, Santa Caterina i la Ribera",616.519230769231,0.6699999999999999,0.002647961100912359,-0.006907414030764192,0.0013690331103019039,0.042771723727485944,0.0010041314674474379,0.009495857655845303
el Fort Pienc,622.1624999999999,0.5063636363636363,0.0010528163035904003,-0.012538122116863854,0.00337951025109548,0.0011317183830413327,0.0022278047891169613,0.007134737896873164
la Sagrada Família,518.8897058823527,0.5845454545454545,0.0011596706088877304,-0.009841640982372751,0.003294496191478441,0.006871853265140647,0.00361152275383513,0.010357741675639682
la Dreta de l'Eixample,776.6293103448274,0.6672727272727271,0.0030727239610950424,-0.010264964624972844,0.0038132355392729187,0.02198098912121127,0.0043333800691960815,0.008645245741620749
l'Antiga Esquerra de l'Eixample,767.4759615384614,0.5745454545454546,0.001713203473851499,-0.009771633036704152,0.004190867624337552,-0.002638194589828835,0.0025169227788294315,0.009730734056432856
la Nova Esquerra de l'Eixample,627.0531250000004,0.6263636363636362,7.991176046662343e-4,-0.0073891300822943205,0.0021217391858383756,0.02223393269955059,0.002685760169670278,0.009786374121904801
Sant Antoni,586.9375000000002,0.5681818181818183,0.0014642442820424068,-0.007367952550732415,0.0019932608286272525,0.02432814461784868,0.0022295056361733984,0.010584605913797668
el Poble-sec,547.9010416666667,0.5945454545454546,0.002234451789650422,-0.0073114886357561635,1.8003523927378473e-4,0.01687765067811082,0.0020152344085247764,0.009934032469111153
la Marina del Prat Vermell,639.75,0.9772727272727273,6.116003830845809e-4,-0.022926660865382947,0.0021653503446486255,-0.02943989763340597,3.6512081293820116e-4,0.022774045064775972
la Marina de Port,423.86764705882365,0.46727272727272734,2.287145337074305e-4,-0.005354248373823073,2.551965795353217e-5,3.562923948420659e-4,-0.0016042338589392184,0.006095484237836606
